pose_id,kind,source_time_s,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,left_wrist_roll_joint,left_wrist_pitch_joint,left_wrist_yaw_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint,right_wrist_roll_joint,right_wrist_pitch_joint,right_wrist_yaw_joint
representative_pose_01,source,261.39582900,0.27744700,0.77759600,-0.22961800,-0.47545000,0.84738100,0.40014100,0.04635500,0.27819000,-0.77841100,0.22883900,-0.47379600,-0.84847100,0.40059700,-0.04655900
representative_pose_02,source,404.89758500,0.24318400,0.32195600,-0.10706700,0.73631100,0.06639300,0.04969900,0.00659100,0.25242400,-0.31495700,0.11346700,0.69877600,-0.06790300,0.05015400,-0.00154600
representative_pose_03,source,35.20404500,-0.01895900,1.06478600,0.01714900,-0.93828100,0.68092000,0.74722800,-0.96946400,0.27900500,-0.77805200,0.22982100,-0.47601300,-0.84804000,0.40052500,-0.04660700
representative_pose_04,source,133.21484100,-0.70631400,0.55189800,-0.62701500,0.39597100,0.72042000,0.06354000,-0.34237700,0.27936400,-0.77835100,0.22977400,-0.47607300,-0.84801600,0.40058500,-0.04667900
representative_pose_05,source,386.98248700,0.27680000,0.77786000,-0.22953400,-0.47560600,0.84738100,0.40015300,0.04636700,-0.66389000,-0.99008900,0.23406400,-0.51794600,-0.35250400,0.32002700,1.00312800
representative_pose_06,source,105.24048200,-0.56970600,0.83747000,-0.38469400,-0.31089500,0.51678400,0.17893600,-0.75753500,0.27857300,-0.77841100,0.22978600,-0.47596500,-0.84798000,0.40071700,-0.04658300
synth_pose_01,synthesized,,-0.26806911,0.81615129,-0.32947771,-0.36948638,0.63449621,0.25769815,-0.47130231,0.27843663,-0.77841100,0.22944881,-0.47519271,-0.84815483,0.40067427,-0.04657445
synth_pose_02,synthesized,,0.14560912,0.90513280,-0.12011193,-0.68083642,0.77354329,0.55410631,-0.40422881,-0.24564667,-0.89603498,0.23218192,-0.49934563,-0.57231069,0.35573379,0.53749327
synth_pose_03,synthesized,,-0.39883314,0.62257036,-0.50269798,0.12337469,0.76012860,0.16881981,-0.22079259,-0.01565016,-0.84457463,0.23111575,-0.48916929,-0.69303860,0.37538951,0.28166091
